词语 单音节词比例 双音节词比例 三音节词比例 四音节词比例 词汇密度 平均句长 平均小句长 句子破碎度 句子离散度 修饰词与动词比 成语比例 歇后语占比 甲级词比例 乙级词比例 丙级词比例 丁级词比例 合偶词比例 嵌偶词比例 古语功能词比例
赍 0.5664169185234212 0.1872121329540235 0.013112324725206214 0.002683070242238561 0.6445314269541049 22.622486021307953 7.436952992483153 3.055350671569729 12.750881888712213 0.46893407712837765 0.000835074978917398 0.0019755240505734332 0.3048228433340462 0.20656755169400867 0.12582821881230302 0.11020360634531284 0.003977087602234825 0.09298623035076499 0.026348619559739564
黜 0.5835717694671874 0.17602425818949144 0.014821614149347769 0.0030233039670126884 0.6165723942740948 33.184671081480275 16.98879472829022 3.22705044497117 13.49192616629507 0.5301581712726285 0.0008076287399458586 0.0019150629238408985 0.3140739812200774 0.2039971906640444 0.1365061374193984 0.11327829608014797 0.0059818506422950534 0.10035438816716502 0.030434902752664493
既而 0.5848418577597009 0.16536416084247157 0.01574878725876082 0.0029590489724215497 0.6280194129533853 22.229117961205723 7.109951457540188 3.1272151574950873 12.3581548383492 0.5114766420953644 0.000457221573039295 0.0014730801719449102 0.30441402916237004 0.21226283104074953 0.1319456319020308 0.11475852911550095 0.0034793562515499556 0.10148022745960873 0.02866592979067398
祚 0.593370850592143 0.15997341565064846 0.013724290871125025 0.002558092247957603 0.6092363565263813 22.40296272511464 6.941118572784244 3.212429583828614 12.20214937137012 0.5625320702301431 0.00078220156370716 0.0021381130883248276 0.29864880337495064 0.20859396737004385 0.1346498780586013 0.11684593472575643 0.0046938813829585585 0.10075963436370035 0.028270468292088954
纣 0.614618936646781 0.13611676381002127 0.008457984303748733 0.0013918368653875301 0.5733879327128337 20.37845738764924 7.152859862849563 2.84228486326613 12.832473872078374 0.6806762953348001 0.0005313885400817739 0.00448464005002552 0.3373137344375501 0.18790617190474998 0.1474591405134991 0.12104834731636842 0.00312878459043663 0.08551667343564466 0.04050127767682724
飨 0.5918312612981963 0.15782734098044737 0.012371865545408865 0.0021531751000586235 0.6057663692311207 21.72656429622626 7.094889541419713 3.0609282449881716 12.144826402881556 0.5599682353464416 0.0006471238938053098 0.002182047120438758 0.3118516410850552 0.2059892642023291 0.13026960138798266 0.10830919129782615 0.004209424115195371 0.09278295412163477 0.027402716686932657
有差 0.5571740252609684 0.1884530932135254 0.022319189392727003 0.002980770313193837 0.6325067975746924 21.00714608435991 7.737455520769796 2.748836815487601 13.026727312156126 0.4342871369762512 0.0004065457413249211 0.0010747258086418448 0.27078514685748795 0.18336205168078276 0.12554379501468532 0.10246657118507635 0.0038830500448042617 0.0865430074137654 0.017036218845929648
罔 0.5944814774362743 0.1626246250298464 0.012716354811690029 0.0025428722009748716 0.5996998222635166 33.07303738598113 17.34347849795856 3.2064541057754115 12.88345450811381 0.6077891210885383 0.000885687382311937 0.002074694628250815 0.30129508728128 0.2089079624873934 0.13865943715329354 0.11742791743902206 0.004863732089205232 0.09851818914647474 0.0317219101567405
未几 0.580828503473877 0.1734710993702522 0.017636047951463438 0.003010772960582931 0.6397195058302274 23.11321193002875 7.260210466960445 3.170421991458828 12.892929319446148 0.4514317911341067 0.00033378292641280657 0.0014325963937846817 0.2987654648358151 0.208010025992744 0.12861361138808253 0.11485809183213488 0.0034219174513331883 0.1034412867540942 0.02465375214846663
繇 0.580984808467915 0.1758812572828376 0.011467768324352676 0.0024831697386305533 0.6200727165399283 22.26909874382792 7.195751024670526 3.091569970447635 12.039030964636508 0.5774280334937781 0.0010389860139860142 0.002255405497597433 0.3286645316528962 0.20507847184125916 0.13129251418378107 0.10751702113798495 0.004792267981673946 0.09505821432667683 0.028521266780231563
